1637938307.305200000	eth:ethertype:ip:tcp:tls	192.168.20.103	35.190.25.25	6	47896	443	decide.mixpanel.com
1637938307.406206000	eth:ethertype:ip:tcp:tls	192.168.20.103	104.17.209.240	6	59395	443	zn5vr2rtlohcc0jmb-logmein1.siteintercept.qualtrics.com
1637938308.032197000	eth:ethertype:ip:tcp:tls	192.168.20.103	23.22.189.111	6	59238	443	telemetry.servers.getgo.com
1637938308.625207000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.226.175.112	6	46650	443	global.gotomeeting.com
1637938308.630210000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.226.175.112	6	46651	443	global.gotomeeting.com
1637938308.633204000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.226.175.112	6	46653	443	global.gotomeeting.com
1637938308.635203000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.226.175.112	6	46652	443	global.gotomeeting.com
1637938309.089208000	eth:ethertype:ip:tcp:tls	192.168.20.103	142.250.180.131	6	59517	443	crashlyticsreports-pa.googleapis.com
1637938309.161200000	eth:ethertype:ip:tcp:tls	192.168.20.103	99.86.162.45	6	48459	443	launches.appsflyer.com
1637938309.538201000	eth:ethertype:ip:tcp:tls	192.168.20.103	34.206.99.180	6	36075	443	apilive-g2m-external.devplatform-prod.expertcity.com
1637938321.396203000	eth:ethertype:ip:tcp:tls	192.168.20.103	78.108.124.37	6	34516	443	g2mbymcsb5-public.afr.expertcity.com
1637938322.717208000	eth:ethertype:ip:tcp:tls	192.168.20.103	143.204.11.7	6	36055	443	inapps.appsflyer.com
1637938322.920205000	eth:ethertype:ip:tcp:tls	192.168.20.103	143.204.11.15	6	49863	443	invitation.service.gotomeeting.com
1637938323.335210000	eth:ethertype:ip:tcp:tls	192.168.20.103	35.186.241.51	6	60672	443	api.mixpanel.com
1637938326.259210000	eth:ethertype:ip:tcp:tls	192.168.20.103	34.235.193.186	6	56801	443	telemetry.servers.getgo.com
1637938382.751236000	eth:ethertype:ip:tcp:tls	192.168.20.103	52.10.63.86	6	46055	443	telemetry.servers.getgo.com
1637938414.233249000	eth:ethertype:ip:tcp:tls	192.168.20.103	52.10.63.86	6	46056	443	telemetry.servers.getgo.com
1637938453.469267000	eth:ethertype:ip:tcp:tls	192.168.20.103	35.165.244.87	6	36825	443	telemetry.servers.getgo.com
1637938472.635276000	eth:ethertype:ip:tcp:tls	192.168.20.103	142.250.180.100	6	43316	443	www.google.com
1637938503.320286000	eth:ethertype:ip:tcp:tls	192.168.20.103	23.22.189.111	6	59270	443	telemetry.servers.getgo.com
1637938520.198294000	eth:ethertype:ip:tcp:tls	192.168.20.103	34.235.193.186	6	56817	443	telemetry.servers.getgo.com
1637938623.957347000	eth:ethertype:ip:tcp:tls	192.168.20.103	23.22.189.111	6	59273	443	telemetry.servers.getgo.com
1637938641.290354000	eth:ethertype:ip:tcp:tls	192.168.20.103	23.22.189.111	6	59274	443	telemetry.servers.getgo.com
1637938744.660401000	eth:ethertype:ip:tcp:tls	192.168.20.103	52.10.63.86	6	46075	443	telemetry.servers.getgo.com
1637938745.694405000	eth:ethertype:ip:tcp:tls	192.168.20.103	54.146.88.2	6	39297	443	logging.getgo.com
1637938865.386456000	eth:ethertype:ip:tcp:tls	192.168.20.103	23.22.189.111	6	59283	443	telemetry.servers.getgo.com
1637938941.525499000	eth:ethertype:ip:tcp:tls	192.168.20.103	34.235.193.186	6	56831	443	telemetry.servers.getgo.com
1637938986.171516000	eth:ethertype:ip:tcp:tls	192.168.20.103	35.165.244.87	6	36848	443	telemetry.servers.getgo.com
1637939106.830570000	eth:ethertype:ip:tcp:tls	192.168.20.103	52.10.63.86	6	46088	443	telemetry.servers.getgo.com
1637939162.161603000	eth:ethertype:ip:tcp:tls	192.168.20.103	23.22.189.111	6	59294	443	telemetry.servers.getgo.com
1637939227.456625000	eth:ethertype:ip:tcp:tls	192.168.20.103	23.22.189.111	6	59297	443	telemetry.servers.getgo.com
1637939307.356663000	eth:ethertype:ip:tcp:tls	192.168.20.103	34.235.193.186	6	56845	443	telemetry.servers.getgo.com
1637939348.120684000	eth:ethertype:ip:tcp:tls	192.168.20.103	34.235.193.186	6	56847	443	telemetry.servers.getgo.com
1637939374.859697000	eth:ethertype:ip:tcp:tls	192.168.20.103	216.58.205.68	6	57633	443	www.google.com
1637939448.554727000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.226.175.62	6	40462	443	global.gotomeeting.com
1637939448.781733000	eth:ethertype:ip:tcp:tls	192.168.20.103	34.235.193.186	6	56857	443	telemetry.servers.getgo.com
1637939449.443733000	eth:ethertype:ip:tcp:tls	192.168.20.103	34.235.193.186	6	56858	443	telemetry.servers.getgo.com
1637939449.669733000	eth:ethertype:ip:tcp:tls	192.168.20.103	54.146.88.2	6	39329	443	logging.getgo.com
1637939450.336730000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.226.175.62	6	40466	443	global.gotomeeting.com
1637939450.340728000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.226.175.62	6	40467	443	global.gotomeeting.com
1637939450.375731000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.226.175.62	6	40468	443	global.gotomeeting.com
1637939450.377731000	eth:ethertype:ip:tcp:tls	192.168.20.103	13.226.175.62	6	40469	443	global.gotomeeting.com
1637939450.878731000	eth:ethertype:ip:tcp:tls	192.168.20.103	35.186.241.51	6	60738	443	api.mixpanel.com
1637939450.996730000	eth:ethertype:ip:tcp:tls	192.168.20.103	54.175.121.155	6	59762	443	apilive-g2m-external.devplatform-prod.expertcity.com
1637939451.189732000	eth:ethertype:ip:tcp:tls	192.168.20.103	35.186.241.51	6	60740	443	decide.mixpanel.com
